********************************************************************************
*                             Initializing Cubiquity                           *
********************************************************************************
[20:49:16, Info   ]: Creating voxel database from 'E:/_Users/buram_000/Desktop/GAME_SECOND/tkTools/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[20:49:16, Info   ]: Creating voxel database from 'E:/_Users/buram_000/Desktop/GAME_SECOND/tkTools/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[20:49:16, Info   ]: Creating voxel database from 'E:/_Users/buram_000/Desktop/GAME_SECOND/tkTools/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[20:49:16, Info   ]: Creating voxel database from 'E:/_Users/buram_000/Desktop/GAME_SECOND/tkTools/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[20:49:16, Info   ]: Creating voxel database from 'E:/_Users/buram_000/Desktop/GAME_SECOND/tkTools/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[20:49:16, Info   ]: Creating voxel database from 'E:/_Users/buram_000/Desktop/GAME_SECOND/tkTools/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[20:49:16, Info   ]: Creating voxel database from 'E:/_Users/buram_000/Desktop/GAME_SECOND/tkTools/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[20:49:16, Info   ]: Creating voxel database from 'E:/_Users/buram_000/Desktop/GAME_SECOND/tkTools/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[20:49:16, Info   ]: Creating voxel database from 'E:/_Users/buram_000/Desktop/GAME_SECOND/tkTools/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[20:49:16, Info   ]: Creating voxel database from 'E:/_Users/buram_000/Desktop/GAME_SECOND/tkTools/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
********************************************************************************
*                             Shutting down Cubiquity                          *
********************************************************************************

